DESCRIPTION,PROPERTY NAME,ESA,STREET START NR,STREET END NR,LOT PREFIX,LOT NUMBER,STREET_NAME,STREET TYPE,LOCALITY_NAME,STATE CODE,POST CODE,LONG  DEG,LONG  MIN,LONG SEC,EW HEM,LAT DEG,LAT MIN,LAT SEC,NS HEMI,AMG ZONE,EASTING,NORTHING,PMS CODE
CNR WINDSOR WALK,BARTON EXCHANGE,BRTN,,,,,BLACKALL,ST,BARTON,ACT,2600,149,8,6,E,35,18,17,S,55,694113,6091059,3214
,BELCONNEN EXCHANGE,BLCN,43,,,,HENNESSY,ST,BELCONNEN,ACT,2617,149,4,22,E,35,14,54,S,55,688578,6097441,3222
,CIVIC EXCHANGE,CVIC,50,52,,,MORT,ST,BRADDON,ACT,2612,149,7,58,E,35,16,13,S,55,693985,6094904,3369
CNR GRIMWADE ST,CRACE EXCHANGE,CRCF,52,,,,SANDFORD,ST,MITCHELL,ACT,2911,149,8,14,E,35,13,11,S,55,694530,6100503,3400
,DEAKIN EXCHANGE,DKIN,107,,,,KENT,ST,DEAKIN,ACT,2600,149,5,49,E,35,19,32,S,55,690607,6088842,3436
,FYSHWICK EXCHANGE,FYSK,96,,,,NEWCASTLE,ST,FYSHWICK,ACT,2609,149,10,36,E,35,20,7,S,55,697823,6087614,3487
NEAR FIRE STATION OFF,GUNGAHLIN EXCHANGE,CRCF,,,,,ANTHONY ROLFE,AVE,GUNGAHLIN,ACT,2912,149,7,50,E,35,11,1,S,55,693990,6104514,89301
,HALL SCAX ACT,HALL,,,,,VICTORIA,ST,HALL,ACT,2618,149,4,43,E,35,10,30,S,55,689287,6105586,2041
,JERRABOMBERRA SCAX,JBRA,,,,,MONARO,HWY,HUME,ACT,2620,149,9,25,E,35,23,45,S,55,695899,6080928,3595
,KAMBAH EXCHANGE,KBAH,9,,,,MORRISON,ST,KAMBAH,ACT,2902,149,4,26,E,35,23,39,S,55,688359,6081275,3591
,LANYON EXCHANGE,LNYN,,,,,KNOKE,AVE,GORDON,ACT,2906,149,5,23,E,35,28,12,S,55,689613,6072834,2712
CNR EVANS CRESCENT &,MANUKA EXCHANGE,MNKA,,,,,STUART,ST,GRIFFITH,ACT,2603,149,8,13,E,35,19,21,S,55,694238,6089084,2777
CNR WILKINS ST,MAWSON EXCHANGE,MWSN,96,,,,MAWSON,DR,MAWSON,ACT,2607,149,5,49,E,35,21,50,S,55,690524,6084589,2789
,MELBA EXCHANGE,MLBA,2,,,,VERBRUGGEN,ST,MELBA,ACT,2615,149,3,0,E,35,11,37,S,55,686649,6103567,2788
CNR 2-6 BARRACLOUGH ST,MONASH EXCHANGE,MNSH,,,,,ASHLEY,DR,MONASH,ACT,2904,149,6,4,E,35,25,0,S,55,690779,6078727,2798
CORNER KINGSFORD SMITH DR &,SCULLIN EXCHANGE,SCLN,,,,,BELCONNEN,WAY,SCULLIN,ACT,2614,149,1,52,E,35,14,21,S,55,684826,6098549,2997
,TUGGERANONG EXCHANGE,TUGG,72,,,,REED,ST,GREENWAY,ACT,2900,149,3,59,E,35,25,19,S,55,687600,6078200,3274
NEAR CNR BRINDABELLA RD 52K URIARRA XING MOUNTAIN CREEK,URIARRA FOREST EXCHANGE,URRA,,,,,URIARRA,RD,URIARRA FOREST,ACT,2611,148,56,6,E,35,17,6,S,55,675980,6093639,4083
CORNER STREETON DRIVE &,WESTON CREEK EXCHANGE,WECK,1,,,,HINDMARSH,DR,STIRLING,ACT,2611,149,2,57,E,35,20,36,S,55,686207,6086969,3153
REAR OF POLICE STATION 10K N ABERDEEN,ABERDEEN EXCHANGE,ABDN,,,,,SEGENHOE,ST,ABERDEEN,NSW,2336,150,53,13,E,32,10,28,S,56,300774,6438263,3860
,ABERFOYLE EXCHANGE,ABFL,,,,,WARDS-MISTAKE,RD,ABERFOYLE,NSW,2350,152,1,1,E,30,15,31,S,56,405431,6652161,4159
,ABERMAIN EXCHANGE,ABMN,199,,,,CESSNOCK,RD,ABERMAIN,NSW,2326,151,25,56,E,32,48,39,S,56,353238,6368596,1
,ADAMINABY EXCHANGE,ADAM,12,14,,,DENNISON,ST,ADAMINABY,NSW,2630,148,48,0,E,35,48,47,S,55,662633,6035296,733
,ADELONG EXCHANGE,ADLG,80,,,,TUMUT,ST,ADELONG,NSW,2729,148,3,52,E,35,18,28,S,55,596778,6092293,4161
51KM N COONABARABRAN,AIRLANDS EXCHANGE,ALDS,,,,,NEWELL,HWY,BARADINE,NSW,2396,149,16,45,E,31,16,22,S,55,716995,6537934,3651
,ALBION PARK EXCHANGE,ALPK,170,,,,PRINCES,HWY,ALBION PARK,NSW,2527,150,47,43,E,34,33,41,S,56,297736,6173396,3139
,ALBURY EXCHANGE,ALBY,475,,,,KIEWA,ST,ALBURY,NSW,2640,146,53,0,E,36,4,29,S,55,489484,6007760,3140
50K NORTH ALBURY ON,ALMA PARK EXCHANGE,AMPK,,,,,WALLA WALLA HENTY,RD,ALMA PARK,NSW,2659,146,52,49,E,35,42,34,S,55,489159,6048274,4167
,ALSTONVILLE EXCHANGE,ALST,6,,,,ROBERTSON,ST,ALSTONVILLE,NSW,2477,153,25,19,E,28,49,14,S,56,541166,6811835,3148
,ANABRANCH/SCOTIA TE,SCTA,,,,,SILVER CITY,HWY,ANABRANCH,NSW,2648,141,45,21,E,33,35,37,S,54,570123,6282645,97337
